Room_ID,Timestamp,Power_kW,Energy_kWh,Expected_Energy,Occupancy,Scheduled,Equipment,Temperature,Humidity_%,Data_Quality
R101,2026-09-01 08:00:00,0.12,0.12,0.1,0,0,OFF,23.86,51.94,GOOD
R101,2026-09-01 09:00:00,0.311,0.311,0.25,1,1,ON,23.77,49.3,GOOD
R101,2026-09-01 10:00:00,0.313,0.313,0.25,1,1,ON,24.77,48.59,GOOD
R101,2026-09-01 11:00:00,0.272,0.272,0.25,1,1,ON,23.54,48.6,GOOD
R101,2026-09-01 12:00:00,0.26,0.26,0.25,1,1,ON,22.09,44.83,GOOD
R101,2026-09-01 13:00:00,0.228,0.228,0.25,1,1,ON,22.99,50.94,GOOD
R101,2026-09-01 14:00:00,0.214,0.214,0.25,1,1,ON,22.59,54.4,GOOD
R101,2026-09-01 15:00:00,0.241,0.241,0.25,1,1,ON,24.07,45.73,GOOD
R101,2026-09-01 16:00:00,0.228,0.228,0.25,1,1,ON,24.11,46.55,GOOD
R101,2026-09-01 17:00:00,0.265,0.265,0.25,1,1,ON,23.4,49.12,GOOD
R101,2026-09-01 18:00:00,0.076,0.076,0.1,0,0,OFF,25.85,49.96,GOOD
R101,2026-09-01 19:00:00,1.15,1.15,0.1,0,0,ON,24.82,46.34,GOOD
R101,2026-09-01 20:00:00,0.108,0.108,0.1,0,0,OFF,22.04,46.02,GOOD
R101,2026-09-01 21:00:00,0.108,0.108,0.1,0,0,OFF,24.74,50.51,GOOD
R101,2026-09-01 22:00:00,0.095,0.095,0.1,0,0,OFF,23.7,45.56,GOOD
R101,2026-09-01 23:00:00,0.071,0.071,0.1,0,0,OFF,23.54,53.17,GOOD
R101,2026-09-02 00:00:00,0.114,0.114,0.1,0,0,OFF,22.24,50.97,GOOD
R101,2026-09-02 01:00:00,0.085,0.085,0.1,0,0,OFF,23.32,51.84,GOOD
R101,2026-09-02 02:00:00,0.141,0.141,0.1,0,0,OFF,24.93,47.48,GOOD
R101,2026-09-02 03:00:00,0.088,0.088,0.1,0,0,OFF,24.33,52.93,GOOD
R101,2026-09-02 04:00:00,0.081,0.081,0.1,0,0,OFF,23.81,46.68,GOOD
R101,2026-09-02 05:00:00,0.052,0.052,0.1,0,0,OFF,24.81,54.07,GOOD
R101,2026-09-02 06:00:00,0.097,0.097,0.1,0,0,OFF,25.0,51.08,GOOD
R101,2026-09-02 07:00:00,0.074,0.074,0.1,0,0,OFF,24.36,54.61,GOOD
R102,2026-09-01 08:00:00,0.099,0.099,0.1,0,0,OFF,25.56,42.14,GOOD
R102,2026-09-01 09:00:00,0.283,0.283,0.25,1,1,ON,24.09,49.1,GOOD
R102,2026-09-01 10:00:00,0.254,0.254,0.25,1,1,ON,22.01,49.34,GOOD
R102,2026-09-01 11:00:00,0.264,0.264,0.25,1,1,ON,25.48,48.45,GOOD
R102,2026-09-01 12:00:00,0.218,0.218,0.25,1,1,ON,23.5,52.75,GOOD
R102,2026-09-01 13:00:00,0.263,0.263,0.25,1,1,ON,23.47,51.54,GOOD
R102,2026-09-01 14:00:00,0.254,0.254,0.25,1,1,ON,24.97,47.89,GOOD
R102,2026-09-01 15:00:00,0.237,0.237,0.25,1,1,ON,23.61,45.61,GOOD
R102,2026-09-01 16:00:00,0.262,0.262,0.25,1,1,ON,24.26,50.02,GOOD
R102,2026-09-01 17:00:00,0.241,0.241,0.25,1,1,ON,22.58,48.74,GOOD
R102,2026-09-01 18:00:00,0.086,0.086,0.1,0,0,OFF,23.2,49.52,GOOD
R102,2026-09-01 19:00:00,0.116,0.116,0.1,0,0,OFF,25.89,50.52,GOOD
R102,2026-09-01 20:00:00,0.11,0.11,0.1,0,0,OFF,23.93,44.24,GOOD
R102,2026-09-01 21:00:00,0.099,0.099,0.1,0,0,OFF,24.06,57.39,GOOD
R102,2026-09-01 22:00:00,0.092,0.092,0.1,0,0,OFF,24.3,49.9,GOOD
R102,2026-09-01 23:00:00,0.053,0.053,0.1,0,0,OFF,25.14,52.26,GOOD
R102,2026-09-02 00:00:00,0.132,0.132,0.1,0,0,OFF,23.09,54.21,GOOD
R102,2026-09-02 01:00:00,0.05,0.05,0.1,0,0,OFF,24.59,56.57,GOOD
R102,2026-09-02 02:00:00,0.06,0.06,0.1,0,0,OFF,23.43,50.3,GOOD
R102,2026-09-02 03:00:00,0.08,0.08,0.1,0,0,OFF,22.45,50.21,GOOD
R102,2026-09-02 04:00:00,0.058,0.058,0.1,0,0,OFF,24.47,47.24,GOOD
R102,2026-09-02 05:00:00,0.162,0.162,0.1,0,0,OFF,23.22,49.03,GOOD
R102,2026-09-02 06:00:00,0.133,0.133,0.1,0,0,OFF,22.77,50.68,GOOD
R102,2026-09-02 07:00:00,0.152,0.152,0.1,0,0,OFF,22.39,50.55,GOOD
R103,2026-09-01 08:00:00,0.11,0.11,0.1,0,0,OFF,24.78,46.29,GOOD
R103,2026-09-01 09:00:00,0.197,0.197,0.25,1,1,ON,24.52,50.89,GOOD
R103,2026-09-01 10:00:00,0.26,0.26,0.25,1,1,ON,24.35,47.96,GOOD
R103,2026-09-01 11:00:00,0.259,0.259,0.25,1,1,ON,24.29,47.86,GOOD
R103,2026-09-01 12:00:00,0.325,0.325,0.25,1,1,ON,24.47,46.43,GOOD
R103,2026-09-01 13:00:00,0.276,0.276,0.25,1,1,ON,23.03,52.36,GOOD
R103,2026-09-01 14:00:00,0.296,0.296,0.25,1,1,ON,23.18,52.89,GOOD
R103,2026-09-01 15:00:00,0.267,0.267,0.25,1,1,ON,24.82,55.69,GOOD
R103,2026-09-01 16:00:00,0.24,0.24,0.25,1,1,ON,23.25,47.33,GOOD
R103,2026-09-01 17:00:00,0.217,0.217,0.25,1,1,ON,23.92,51.02,GOOD
R103,2026-09-01 18:00:00,0.111,0.111,0.1,0,0,OFF,24.83,50.04,GOOD
R103,2026-09-01 19:00:00,0.158,0.158,0.1,0,0,OFF,23.74,58.16,GOOD
R103,2026-09-01 20:00:00,0.125,0.125,0.1,0,0,OFF,23.14,46.79,GOOD
R103,2026-09-01 21:00:00,0.119,0.119,0.1,0,0,OFF,23.78,52.14,GOOD
R103,2026-09-01 22:00:00,0.119,0.119,0.1,0,0,OFF,23.93,47.46,GOOD
R103,2026-09-01 23:00:00,0.05,0.05,0.1,0,0,OFF,23.55,52.57,GOOD
R103,2026-09-02 00:00:00,0.109,0.109,0.1,0,0,OFF,22.75,50.52,GOOD
R103,2026-09-02 01:00:00,0.115,0.115,0.1,0,0,OFF,23.12,50.46,GOOD
R103,2026-09-02 02:00:00,0.102,0.102,0.1,0,0,OFF,22.86,51.07,GOOD
R103,2026-09-02 03:00:00,0.122,0.122,0.1,0,0,OFF,25.08,53.16,GOOD
R103,2026-09-02 04:00:00,0.05,0.05,0.1,0,0,OFF,23.06,51.55,GOOD
R103,2026-09-02 05:00:00,0.121,0.121,0.1,0,0,OFF,24.52,61.56,GOOD
R103,2026-09-02 06:00:00,0.123,0.123,0.1,0,0,OFF,25.14,52.86,GOOD
R103,2026-09-02 07:00:00,0.126,0.126,0.1,0,0,OFF,23.68,52.28,GOOD
